SWIS,Municipality
92000,Altona
202000,Arietta
92200,Ausable
162400,Bellmont
202200,Benson
92600,Black Brook
172000,Bleecker
522000,Bolton
163000,Brighton
172200,Broadalbin
172400,Caroga
522400,Chester
152000,Chesterfield
402400,Clare
402600,Clifton
402800,Colton
412600,Corinth
232000,Croghan
152200,Crown Point
93400,Dannemora
412800,Day
232400,Diana
532400,Dresden
164000,Duane
413000,Edinburg
152400,Elizabethtown
93600,Ellenburg
172600,Ephratah
152600,Essex
403600,Fine
303800,Forestport
532800,Fort Ann
164400,Franklin
413400,Greenfield
232600,Greig
413600,Hadley
522600,Hague
164600,Harrietstown
202400,Hope
404600,Hopkinton
522800,Horicon
202600,Indian Lake
202800,Inlet
152800,Jay
523000,Johnsburg
170800,Johnstown
172800,Johnstown
153000,Keene
522200,Lake George
523200,Lake Luzerne
203000,Lake Pleasant
404800,Lawrence
153200,Lewis
233200,Lewis
210900,Little Falls
213400,Little Falls
203200,Long Lake
233800,Lyonsdale
173000,Mayfield
153400,Minerva
203400,Morehouse
153600,Moriah
153800,Newcomb
154000,North Elba
154200,North Hudson
173200,Northampton
214200,Ohio
173400,Oppenheim
406600,Parishville
94000,Peru
406800,Piercefield
407200,Pitcairn
91300,Plattsburgh
94200,Plattsburgh
414800,Providence
534600,Putnam
523400,Queensbury
305200,Remsen
214400,Russia
214600,Salisbury
165200,Santa Clara
94400,Saranac
154600,Schroon
154400,St. Armand
523600,Stony Creek
173800,Stratford
523800,Thurman
154800,Ticonderoga
162000,Tupper Lake
524000,Warrensburg
235200,Watson
165400,Waverly
215400,Webb
203600,Wells
155000,Westport
155200,Willsboro
155400,Wilmington
