OBJECTID,NAME,MUNI_TYPE,MUNITYCODE,COUNTY,GNIS_ID,FIPS_CODE,SWIS,POP1990,POP2000,POP2010,POP2020,DOS_LL,DOSLL_DATE,MAP_SYMBOL,CALC_SQ_MI,DATEMOD
1,Adams,town,2,Jefferson,978655,3604500210,222000,4977,4782,5143,4973,,,T,42.36175683,2018/11/06 00:00:00+00
2,Addison,town,2,Steuben,978656,3610100287,462000,2645,2640,2595,2397,,,T,25.77768593,2018/03/01 00:00:00+00
3,Afton,town,2,Chenango,978657,3601700353,082000,2972,2977,2851,2769,,,T,46.67724703,2017/09/01 00:00:00+00
4,Alabama,town,2,Genesee,978658,3603700474,182000,1998,1881,1869,1602,,,T,52.23629772,2018/02/12 00:00:00+00
5,Albany,city,1,Albany,978659,3600101000,010100,101082,95658,97856,99224,,,1,21.99000188,2017/11/10 00:00:00+00
6,Albion,town,2,Oswego,978661,3607501055,352000,2043,2083,2073,2009,,,T,47.88297822,
7,Albion,town,2,Orleans,978660,3607301044,342000,8178,8042,8468,7639,,,T,25.32939855,2018/02/12 00:00:00+00
8,Alden,town,2,Erie,978662,3602901099,142000,10372,10470,10865,9706,,,T,34.56726948,2017/10/30 00:00:00+00
9,Alexander,town,2,Genesee,978663,3603701165,182200,2233,2451,2534,2491,,,T,35.58059811,2017/12/12 00:00:00+00
10,Alexandria,town,2,Jefferson,978664,3604501176,222200,3949,4097,4061,3741,,,T,84.40182138,2018/11/06 00:00:00+00
11,Alfred,town,2,Allegany,978665,3600301209,022000,5791,5140,5237,5157,,,T,31.60262862,
12,Allegany,town,2,Cattaraugus,978666,3600901297,042000,8327,8230,8004,7493,,,T,72.21881588,2019/04/26 00:00:00+00
13,Allen,town,2,Allegany,978668,3600301319,022200,406,462,448,494,,,T,36.60136574,
14,Alma,town,2,Allegany,978669,3600301429,022400,846,847,842,781,,,T,36.51489248,2019/04/26 00:00:00+00
15,Almond,town,2,Allegany,978670,3600301451,022600,1640,1604,1633,1512,,,T,45.76745048,
16,Altona,town,2,Clinton,978672,3601901583,092000,2775,3160,2887,2666,,,T,101.56094226,2018/12/07 00:00:00+00
17,Amboy,town,2,Oswego,978673,3607501649,352200,1010,1312,1263,1245,,,T,37.69075568,
18,Amenia,town,2,Dutchess,978674,3602701693,132000,5195,4048,4436,3769,,,T,43.65640832,2010/08/12 00:00:00+00
19,Amherst,town,2,Erie,978675,3602902000,142200,111711,116510,122366,129595,,,T,53.6120677,2018/05/22 00:00:00+00
20,Amity,town,2,Allegany,978676,3600302011,022800,2255,2245,2308,2171,,,T,34.61687191,
21,Amsterdam,town,2,Montgomery,978678,3605702077,272000,5962,5820,5566,5557,,,T,30.32431459,2018/05/22 00:00:00+00
22,Amsterdam,city,1,Montgomery,978677,3605702066,270100,20714,18355,18620,18219,,,1,6.22846777,2018/05/22 00:00:00+00
23,Ancram,town,2,Columbia,978679,3602102099,102000,1510,1513,1573,1440,,,T,42.8818662,2018/01/22 00:00:00+00
24,Andes,town,2,Delaware,978680,3602502132,122000,1291,1356,1301,1114,,,T,112.40547611,2018/10/26 00:00:00+00
25,Andover,town,2,Allegany,978681,3600302154,023000,1981,1945,1830,1615,,,T,39.53713558,
26,Angelica,town,2,Allegany,978682,3600302187,023200,1446,1411,1403,1272,,,T,36.47665612,
