OBJECTID,NAME,Town,COUNTY,GNIS_ID,FIPS_CODE,SWIS,POP1990,POP2000,POP2010,POP2020,DOS_LL,DOSLL_DATE,MAP_SYMBOL,CALC_SQ_MI,DATEMOD,Shape__Area,Shape__Length
1,Adams,Adams,Jefferson,2391499,360450021000199,222001,1753,1624,1775,1633,1-2005,4/25/2005 12:00:00 AM,1,1.4495964780499,11/5/2018 12:00:00 AM,7216163.109375,14520.8394469203
2,Addison,Addison,Steuben,2391500,361010028700276,462001,1842,1797,1763,1561,,,1,1.93013184468112,2/28/2018 12:00:00 AM,9088099.83984375,17327.0278357705
3,Afton,Afton,Chenango,2391501,360170035300342,082001,838,836,822,794,,,1,1.62922831631819,10/2/2018 12:00:00 AM,7707078.59765625,11279.2123925875
4,Airmont,Ramapo,Rockland,2391502,360876051000408,392621,1770,7799,8628,10166,,,3,4.56362630679066,10/4/2019 12:00:00 AM,20847068.3164063,20728.7423716422
5,Akron,Newstead,Erie,2391503,360295071600441,145601,2906,3085,2868,2888,,,1,1.92730384436385,7/15/2021 12:00:00 AM,9331128.32421875,25444.7157331967
6,Albion,"Albion, Gaines",Orleans,2391504,360730104401033,342001,5863,7438,6056,5637,,,1,2.95656104961799,2/9/2018 12:00:00 AM,14425603.0039063,19013.5383902361
7,Alden,Alden,Erie,2391505,360290109901088,142001,2457,2666,2605,2604,,,1,2.67909938865053,11/20/2017 12:00:00 AM,12921146.515625,14659.8484531399
8,Alexander,Alexander,Genesee,2391506,360370116501154,182201,445,481,509,518,,,1,0.452140833197252,12/12/2017 12:00:00 AM,2181436.26953125,9843.41472639771
9,Alexandria Bay,Alexandria,Jefferson,2391507,360450117601187,222201,1194,1088,1078,924,,,1,1.50397773005389,11/1/2018 12:00:00 AM,7621504.62890625,14392.3629657987
10,Alfred,Alfred,Allegany,2391508,360030120901198,022001,4559,3954,4174,4026,,,1,1.19235687311985,10/1/2018 12:00:00 AM,5637788.46875,13091.1711375205
11,Allegany,Allegany,Cattaraugus,2391509,360090129701286,042001,1980,1883,1816,1544,2-2017,4/6/2017 12:00:00 AM,1,0.771441822558016,7/15/2021 12:00:00 AM,3626305.18359375,14922.2786868303
12,Almond,"Almond, Hornellsville","Allegany, Steuben",2391510,360030145101440,022601,458,461,466,415,,,1,0.540767930957094,1/31/2017 12:00:00 AM,2562292.765625,7731.1581055759
13,Altamont,Guilderland,Albany,2391511,360013110401517,013001,1519,1737,1720,1675,1-2014,12/5/2014 12:00:00 AM,1,1.20043807805113,7/29/2022 12:00:00 AM,5764432.3359375,18077.7737185267
14,Ames,Canajoharie,Montgomery,2391513,360571212201737,272201,166,173,145,138,,,1,0.122269409176808,2/1/2018 12:00:00 AM,589695.99609375,4720.3075759913
15,Amityville,Babylon,Suffolk,2391514,361030400002044,472001,9286,9441,9523,9500,,,1,2.43975109662426,,10999129.421875,16581.3979571054
16,Andover,Andover,Allegany,2391515,360030215402143,023001,1125,1073,1042,890,,,1,1.00050649667369,10/1/2018 12:00:00 AM,4716281.76953125,8687.09524081478
17,Angelica,Angelica,Allegany,2391516,360030218702176,023201,963,903,869,723,,,1,2.13776639444641,10/1/2018 12:00:00 AM,10122104.0976563,12956.6962153339
18,Angola,Evans,Erie,2391517,360292480102198,144401,2231,2266,2127,2046,,,1,1.36398921394444,7/15/2020 12:00:00 AM,6519192.69140625,10335.4517316059
19,Antwerp,Antwerp,Jefferson,2391518,360450229702286,222401,739,716,686,506,,,1,1.03210431509598,11/1/2018 12:00:00 AM,5205771.8671875,9126.95184740166
20,Arcade,Arcade,Wyoming,2391519,361210241802407,562001,2081,2026,2071,1908,,,1,2.58657610634138,9/20/2018 12:00:00 AM,12329084.7109375,26278.7841459427
21,Ardsley,Greenburgh,Westchester,2391523,361193036702506,552601,4272,4269,4452,5079,,,1,1.31004780773056,,5968424.98828125,12925.0305054393
22,Argyle,Argyle,Washington,2391524,361150256102550,532001,295,289,306,289,,,1,0.317019584558771,9/6/2018 12:00:00 AM,1548299.6953125,4933.70760924689
