Fiscal Year Ending,Roll Year,SWIS,Municipality,Village,County,School Code,School Name,County Tax Levy,County Tax Rate Outside Village (per $1000 value),Municipality Tax Levy,Municipal Tax Rate Outside Village (per $1000 value),School District Tax Levy,School District Tax Rate (per $1000 value),Village Tax Rate (per $1000 value),MUNI_TYPE,Town,FIPS_CODE,State FIPS,County FIPS,Subdiv FIPS,Place FIPS,POP1990,POP2000,POP2010,POP2020,CALC_SQ_MI
2022,2021,10100,Albany,,Albany,10100,Albany,"19,199,755",3.48,"61,440,720",11.28,"121,259,962",22.06,,city,,3600101000,36,001,01000,,101082.0,95658.0,97856.0,99224,21.99000188
2022,2021,10300,Cohoes,,Albany,10300,Cohoes,"3,541,490",3.48,"8,083,907",8.16,"17,089,321",16.97,,city,,3600116749,36,001,16749,,16825.0,15521.0,16168.0,18147,4.26160455
2022,2021,11800,Watervliet,,Albany,11800,Watervliet,"1,556,372",3.48,"5,565,946",12.38,"6,289,855",13.83,,city,,3600178674,36,001,78674,,11061.0,10207.0,10254.0,10375,1.47637196
2022,2021,12000,Berne,,Albany,12001,Berne-Knox-Westerlo,"1,095,964",3.48,"168,314",0.53,"4,539,974",15.83,,town,,3600106211,36,001,06211,,3053.0,2846.0,2794.0,2689,64.61799742
2022,2021,12000,Berne,,Albany,13403,Voorheesville,"1,095,964",3.48,"168,314",0.53,"252,595",18.12,,town,,3600106211,36,001,06211,,3053.0,2846.0,2794.0,2689,64.61799742
2022,2021,12000,Berne,,Albany,193201,Greenville,"1,095,964",3.48,"168,314",0.53,"9,263",19.82,,town,,3600106211,36,001,06211,,3053.0,2846.0,2794.0,2689,64.61799742
2022,2021,12000,Berne,,Albany,433801,Middleburgh,"1,095,964",3.48,"168,314",0.53,"341,929",19.66,,town,,3600106211,36,001,06211,,3053.0,2846.0,2794.0,2689,64.61799742
2022,2021,12200,Bethlehem,,Albany,12206,Bethlehem,"14,328,013",3.48,"15,577,339",3.78,"64,187,972",20.01,,town,,3600106354,36,001,06354,,27552.0,31304.0,33656.0,35034,49.35679648
2022,2021,12200,Bethlehem,,Albany,12402,Ravena-Coeymans-Selkirk,"14,328,013",3.48,"15,577,339",3.78,"12,395,571",18.07,,town,,3600106354,36,001,06354,,27552.0,31304.0,33656.0,35034,49.35679648
2022,2021,12200,Bethlehem,,Albany,13002,Guilderland,"14,328,013",3.48,"15,577,339",3.78,"4,954,686",17.36,,town,,3600106354,36,001,06354,,27552.0,31304.0,33656.0,35034,49.35679648
