Fiscal Year Ending,Roll Year,SWIS,Municipality,Village,County,School Code,School Name,Type of Value on which Tax Rates are applied,County Tax Levy,County Tax Rate Outside Village (per $1000 value),Municipality Tax Levy,Municipal Tax Rate Outside Village (per $1000 value),School District Tax Levy,School District Tax Rate (per $1000 value),Village Tax Rate (per $1000 value)
2022,2021,10100,Albany,,Albany,10100,Albany,Full Value,"19,199,755",3.48,"61,440,720",11.28,"121,259,962",22.06,
2022,2021,10300,Cohoes,,Albany,10300,Cohoes,Full Value,"3,541,490",3.48,"8,083,907",8.16,"17,089,321",16.97,
2022,2021,11800,Watervliet,,Albany,11800,Watervliet,Full Value,"1,556,372",3.48,"5,565,946",12.38,"6,289,855",13.83,
2022,2021,12000,Berne,,Albany,12001,Berne-Knox-Westerlo,Full Value,"1,095,964",3.48,"168,314",0.53,"4,539,974",15.83,
2022,2021,12000,Berne,,Albany,13403,Voorheesville,Full Value,"1,095,964",3.48,"168,314",0.53,"252,595",18.12,
2022,2021,12000,Berne,,Albany,193201,Greenville,Full Value,"1,095,964",3.48,"168,314",0.53,"9,263",19.82,
2022,2021,12000,Berne,,Albany,433801,Middleburgh,Full Value,"1,095,964",3.48,"168,314",0.53,"341,929",19.66,
2022,2021,12200,Bethlehem,,Albany,12206,Bethlehem,Full Value,"14,328,013",3.48,"15,577,339",3.78,"64,187,972",20.01,
2022,2021,12200,Bethlehem,,Albany,12402,Ravena-Coeymans-Selkirk,Full Value,"14,328,013",3.48,"15,577,339",3.78,"12,395,571",18.07,
2022,2021,12200,Bethlehem,,Albany,13002,Guilderland,Full Value,"14,328,013",3.48,"15,577,339",3.78,"4,954,686",17.36,
2022,2021,12400,Coeymans,,Albany,12402,Ravena-Coeymans-Selkirk,Full Value,"2,059,921",3.48,"1,589,848",2.69,"10,564,273",18.07,
2022,2021,12400,Coeymans,,Albany,193201,Greenville,Full Value,"2,059,921",3.48,"1,589,848",2.69,"295,326",19.82,
2022,2021,12600,Colonie,,Albany,11800,Watervliet,Full Value,"36,046,478",3.48,"32,217,133",3.07,"985,145",13.83,
2022,2021,12600,Colonie,,Albany,12601,South Colonie,Full Value,"36,046,478",3.48,"32,217,133",3.07,"67,652,020",16.59,
2022,2021,12600,Colonie,,Albany,12605,North Colonie,Full Value,"36,046,478",3.48,"32,217,133",3.07,"89,417,573",15.61,
2022,2021,12600,Colonie,,Albany,12615,Menands,Full Value,"36,046,478",3.48,"32,217,133",3.07,"7,256,715",17.05,
2022,2021,12600,Colonie,,Albany,422401,Niskayuna,Full Value,"36,046,478",3.48,"32,217,133",3.07,"5,361,463",22.79,
2022,2021,12600,Colonie,,Albany,422803,Rotterdam-Mohonasen,Full Value,"36,046,478",3.48,"32,217,133",3.07,"1,208,511",18.45,
2022,2021,12800,Green Island,,Albany,12801,Green Island,Full Value,"727,901",3.48,0,0.0,"3,793,045",17.82,
2022,2021,13000,Guilderland,,Albany,12601,South Colonie,Full Value,"15,046,953",3.48,"12,934,265",2.96,"59,400",16.59,
2022,2021,13000,Guilderland,,Albany,13002,Guilderland,Full Value,"15,046,953",3.48,"12,934,265",2.96,"70,209,599",17.36,
2022,2021,13000,Guilderland,,Albany,13403,Voorheesville,Full Value,"15,046,953",3.48,"12,934,265",2.96,"4,323,779",18.12,
2022,2021,13000,Guilderland,,Albany,422801,Schalmont,Full Value,"15,046,953",3.48,"12,934,265",2.96,"977,121",18.83,
2022,2021,13000,Guilderland,,Albany,422803,Rotterdam-Mohonasen,Full Value,"15,046,953",3.48,"12,934,265",2.96,"1,397,570",18.45,
2022,2021,13200,Knox,,Albany,12001,Berne-Knox-Westerlo,Full Value,"942,395",3.48,"268,620",0.99,"3,734,933",15.83,
2022,2021,13200,Knox,,Albany,13002,Guilderland,Full Value,"942,395",3.48,"268,620",0.99,"492,787",17.36,
2022,2021,13200,Knox,,Albany,422001,Duanesburg,Full Value,"942,395",3.48,"268,620",0.99,"122,540",18.03,
2022,2021,13200,Knox,,Albany,434201,Schoharie,Full Value,"942,395",3.48,"268,620",0.99,"54,267",19.50,
2022,2021,13400,New Scotland,,Albany,12001,Berne-Knox-Westerlo,Full Value,"3,963,984",3.48,"3,110,494",2.73,"92,411",15.83,
2022,2021,13400,New Scotland,,Albany,12206,Bethlehem,Full Value,"3,963,984",3.48,"3,110,494",2.73,"5,045,028",20.01,
2022,2021,13400,New Scotland,,Albany,12402,Ravena-Coeymans-Selkirk,Full Value,"3,963,984",3.48,"3,110,494",2.73,"1,248,090",18.07,
2022,2021,13400,New Scotland,,Albany,13002,Guilderland,Full Value,"3,963,984",3.48,"3,110,494",2.73,"296,326",17.36,
