county_name,year,swis_code,muni_name,muni_type,school_code,school_name,print_key,total_av,sale_date,sale_price,arms_length_flag,prop_class_at_sale,prop_class_desc_at_sale,buyer_state,ownership_code,std_date,hpi,adjusted_amt,merged_swis_print
delaware,2013,125689.0,Walton,0.0,125601.0,Walton,295.-1-7.2,3377,2013-10-01,29000,Y,311.0,Residential Vacant Land,NY,W,2013-10-01,0.7108152300864284,20613.641672506426,295.-1-7.2125689.0
delaware,2016,123689.0,Hancock,0.0,123606.0,Hancock,455.-1-14,20000,2016-10-14,84000,Y,260.0,Seasonal Residences,NY,C,2016-10-14,0.7156739079654286,60116.608269096,455.-1-14123689.0
delaware,2017,122000.0,Andes,3.0,122002.0,Andes,324.-1-38,67800,2017-12-18,100000,Y,260.0,Seasonal Residences,NY,W,2017-12-18,0.7352954917075448,73529.54917075449,324.-1-38122000.0
delaware,2017,123601.0,Hancock,4.0,123606.0,Hancock,429.18-2-20,12500,2017-08-18,115000,Y,210.0,One Family Year-Round Residence,DE,W,2017-08-18,0.7352954917075448,84558.98154636765,429.18-2-20123601.0
delaware,2017,123689.0,Hancock,0.0,123606.0,Hancock,455.-1-13,10500,2017-09-27,150000,Y,210.0,One Family Year-Round Residence,NY,W,2017-09-27,0.7352954917075448,110294.32375613172,455.-1-13123689.0
delaware,2017,123689.0,Hancock,0.0,484802.0,Sullivan West,468.-1-10,25000,2017-09-29,251000,Y,260.0,Seasonal Residences,NY,W,2017-09-29,0.7352954917075448,184559.16841859376,468.-1-10123689.0
delaware,2017,123689.0,Hancock,0.0,123606.0,Hancock,448.-1-15.51,28500,2017-10-13,315000,Y,210.0,One Family Year-Round Residence,NY,W,2017-10-13,0.7352954917075448,231618.0798878766,448.-1-15.51123689.0
delaware,2019,123601.0,Hancock,4.0,123606.0,Hancock,429.18-2-21,15000,2019-05-17,25300,Y,281.0,Multiple Residences,NJ,W,2019-05-17,0.8278439616911936,20944.452230787196,429.18-2-21123601.0
delaware,2019,123601.0,Hancock,4.0,123606.0,Hancock,429.18-2-4,19000,2019-12-04,149000,Y,283.0,Residence with Incidental Commercial Use,NY,W,2019-12-04,0.8278439616911936,123348.75029198785,429.18-2-4123601.0
delaware,2019,123689.0,Hancock,0.0,122401.0,Downsville,420.-1-19.11,14000,2019-03-28,130000,Y,260.0,Seasonal Residences,NY,W,2019-03-28,0.8278439616911936,107619.71501985517,420.-1-19.11123689.0
delaware,2019,123689.0,Hancock,0.0,123606.0,Hancock,439.-1-31,13800,2019-04-16,160000,Y,322.0,Residential Vacant Land Over 10 Acres,PA,W,2019-04-16,0.8278439616911936,132455.03387059097,439.-1-31123689.0
delaware,2019,123689.0,Hancock,0.0,123606.0,Hancock,429.-1-58,17000,2019-07-18,255000,Y,210.0,One Family Year-Round Residence,NJ,W,2019-07-18,0.8278439616911936,211100.21023125437,429.-1-58123689.0
delaware,2019,123689.0,Hancock,0.0,122401.0,Downsville,391.-1-28,12650,2019-11-06,135000,Y,210.0,One Family Year-Round Residence,NY,W,2019-11-06,0.8278439616911936,111758.93482831113,391.-1-28123689.0
delaware,2020,122000.0,Andes,3.0,122002.0,Andes,324.3-2-6,118100,2020-12-01,210000,Y,210.0,One Family Year-Round Residence,NY,W,2020-12-01,0.862228451296426,181067.97477224946,324.3-2-6122000.0
delaware,2020,123601.0,Hancock,4.0,123606.0,Hancock,429.18-2-20,12500,2020-03-04,125000,Y,210.0,One Family Year-Round Residence,NJ,W,2020-03-04,0.862228451296426,107778.55641205325,429.18-2-20123601.0
delaware,2020,123601.0,Hancock,4.0,123606.0,Hancock,429.18-2-50.1,18800,2020-06-19,160000,Y,210.0,One Family Year-Round Residence,NY,W,2020-06-19,0.862228451296426,137956.55220742815,429.18-2-50.1123601.0
delaware,2020,123689.0,Hancock,0.0,484802.0,Sullivan West,468.-1-9.3,13500,2020-01-24,190000,Y,210.0,One Family Year-Round Residence,NY,W,2020-01-24,0.862228451296426,163823.40574632093,468.-1-9.3123689.0
delaware,2020,123689.0,Hancock,0.0,123606.0,Hancock,449.-2-15,11000,2020-02-28,70000,Y,260.0,Seasonal Residences,NJ,W,2020-02-28,0.862228451296426,60355.99159074982,449.-2-15123689.0
delaware,2020,123689.0,Hancock,0.0,123606.0,Hancock,429.-1-60,14000,2020-06-29,300000,Y,260.0,Seasonal Residences,NY,W,2020-06-29,0.862228451296426,258668.5353889278,429.-1-60123689.0
delaware,2020,123689.0,Hancock,0.0,122401.0,Downsville,420.-1-19.512,31600,2020-08-06,379000,Y,283.0,Residence with Incidental Commercial Use,NY,W,2020-08-06,0.862228451296426,326784.58304134547,420.-1-19.512123689.0
delaware,2020,123689.0,Hancock,0.0,123606.0,Hancock,440.-1-18,23000,2020-08-14,230000,Y,210.0,One Family Year-Round Residence,NY,W,2020-08-14,0.862228451296426,198312.54379817797,440.-1-18123689.0
delaware,2020,123689.0,Hancock,0.0,122401.0,Downsville,406.-1-38.1,22500,2020-08-26,179000,Y,210.0,One Family Year-Round Residence,NY,W,2020-08-26,0.862228451296426,154338.89278206025,406.-1-38.1123689.0
delaware,2020,123689.0,Hancock,0.0,484802.0,Sullivan West,458.-1-23,20000,2020-08-24,217500,Y,260.0,Seasonal Residences,NJ,W,2020-08-24,0.862228451296426,187534.68815697267,458.-1-23123689.0
delaware,2020,123689.0,Hancock,0.0,122401.0,Downsville,408.-1-11,21000,2020-09-25,475000,Y,260.0,Seasonal Residences,NY,W,2020-09-25,0.862228451296426,409558.51436580234,408.-1-11123689.0
delaware,2020,123689.0,Hancock,0.0,123606.0,Hancock,449.-2-18,15650,2020-12-11,115000,Y,210.0,One Family Year-Round Residence,NY,W,2020-12-11,0.862228451296426,99156.27189908898,449.-2-18123689.0
delaware,2020,123689.0,Hancock,0.0,122401.0,Downsville,420.-1-19.15,1500,2020-12-16,37500,Y,314.0,Rural Vacant Lots of 10 Acres or less,NJ,W,2020-12-16,0.862228451296426,32333.566923615974,420.-1-19.15123689.0
delaware,2020,123689.0,Hancock,0.0,123606.0,Hancock,439.-1-20,6000,2020-12-08,90000,Y,322.0,Residential Vacant Land Over 10 Acres,TX,W,2020-12-08,0.862228451296426,77600.56061667834,439.-1-20123689.0
delaware,2020,123689.0,Hancock,0.0,484401.0,Roscoe,434.-1-16.7,65000,2020-06-01,525000,Y,240.0,Rural Residence with Acreage,NY,W,2020-06-01,0.862228451296426,452669.93693062366,434.-1-16.7123689.0
delaware,2022,122000.0,Andes,3.0,122002.0,Andes,324.3-1-32,187200,2022-01-25,450000,Y,210.0,One Family Year-Round Residence,NY,W,2022-01-25,1.0770380752160709,484667.1338472319,324.3-1-32122000.0
delaware,2022,123601.0,Hancock,4.0,123606.0,Hancock,439.5-1-6,58000,2022-04-21,429900,Y,210.0,One Family Year-Round Residence,NY,W,2022-04-21,1.0770380752160709,463018.6685353889,439.5-1-6123601.0
delaware,2022,123601.0,Hancock,4.0,123606.0,Hancock,429.18-2-19,10500,2022-08-29,210000,Y,210.0,One Family Year-Round Residence,NY,W,2022-08-29,1.0770380752160709,226177.99579537488,429.18-2-19123601.0
delaware,2022,123601.0,Hancock,4.0,123606.0,Hancock,429.18-2-31,18000,2022-11-04,400000,Y,210.0,One Family Year-Round Residence,NY,W,2022-11-04,1.0770380752160709,430815.23008642835,429.18-2-31123601.0
delaware,2022,123689.0,Hancock,0.0,123606.0,Hancock,429.-1-24,7500,2022-02-15,189600,Y,210.0,One Family Year-Round Residence,SC,W,2022-02-15,1.0770380752160709,204206.41906096705,429.-1-24123689.0
delaware,2022,123689.0,Hancock,0.0,122401.0,Downsville,390.-1-27.121,9500,2022-03-29,245000,Y,210.0,One Family Year-Round Residence,NY,W,2022-03-29,1.0770380752160709,263874.32842793735,390.-1-27.121123689.0
delaware,2022,123689.0,Hancock,0.0,122401.0,Downsville,406.-1-22.23,3700,2022-03-17,57500,Y,314.0,Rural Vacant Lots of 10 Acres or less,NJ,W,2022-03-17,1.0770380752160709,61929.689324924075,406.-1-22.23123689.0
delaware,2022,123689.0,Hancock,0.0,123606.0,Hancock,462.-1-46.2,5000,2022-10-17,135000,Y,314.0,Rural Vacant Lots of 10 Acres or less,PA,W,2022-10-17,1.0770380752160709,145400.14015416958,462.-1-46.2123689.0
delaware,2022,123689.0,Hancock,0.0,484401.0,Roscoe,434.-1-14,52000,2022-11-14,372777,Y,417.0,"Camps, Cottages, Bungalows",NY,W,2022-11-14,1.0770380752160709,401495.02256482124,434.-1-14123689.0
delaware,2022,123689.0,Hancock,0.0,484802.0,Sullivan West,458.-2-19,26000,2022-12-08,475000,Y,210.0,One Family Year-Round Residence,NY,W,2022-12-08,1.0770380752160709,511593.0857276337,458.-2-19123689.0
delaware,2022,125689.0,Walton,0.0,125601.0,Walton,295.-1-7.2,22100,2022-11-23,30000,Y,314.0,Rural Vacant Lots of 10 Acres or less,NY,W,2022-11-23,1.0770380752160709,32311.142256482126,295.-1-7.2125689.0
greene,2013,192289.0,Athens,0.0,192801.0,Coxsackie-Athens,105.18-2-16,461900,2013-12-30,483000,Y,210.0,One Family Year-Round Residence,NY,W,2013-12-30,0.6954931112321943,335923.17272514984,105.18-2-16192289.0
greene,2013,194600.0,Windham,3.0,194601.0,Windham-Ashland,96.06-1-18,132800,2013-12-13,145000,Y,210.0,One Family Year-Round Residence,NY,C,2013-12-13,0.6954931112321943,100846.50112866817,96.06-1-18194600.0
greene,2013,194600.0,Windham,3.0,194601.0,Windham-Ashland,95.06-5-3,278600,2013-12-11,385000,Y,210.0,One Family Year-Round Residence,NY,A,2013-12-11,0.6954931112321943,267764.8478243948,95.06-5-3194600.0
greene,2013,194600.0,Windham,3.0,194601.0,Windham-Ashland,95.09-1-36,284400,2013-12-27,280000,Y,210.0,One Family Year-Round Residence,NJ,A,2013-12-27,0.6954931112321943,194738.0711450144,95.09-1-36194600.0
greene,2013,194600.0,Windham,3.0,194601.0,Windham-Ashland,96.33-2-4,164800,2013-12-30,128000,Y,210.0,One Family Year-Round Residence,NY,A,2013-12-30,0.6954931112321943,89023.11823772086,96.33-2-4194600.0
greene,2013,194600.0,Windham,3.0,194601.0,Windham-Ashland,96.33-6-10,216100,2013-10-01,232500,Y,210.0,One Family Year-Round Residence,NY,A,2013-10-01,0.6954931112321943,161702.14836148516,96.33-6-10194600.0
greene,2014,192201.0,Athens,4.0,192801.0,Coxsackie-Athens,105.19-8-2,69000,2014-03-13,138000,Y,311.0,Residential Vacant Land,NY,W,2014-03-13,0.6721802755507122,92760.87802599829,105.19-8-2192201.0
greene,2014,192201.0,Athens,4.0,192801.0,Coxsackie-Athens,122.19-2-9,152800,2014-09-12,215000,Y,210.0,One Family Year-Round Residence,NY,W,2014-09-12,0.6721802755507122,144518.75924340312,122.19-2-9192201.0
greene,2014,192201.0,Athens,4.0,192801.0,Coxsackie-Athens,122.06-2-28,74600,2014-09-10,60000,Y,311.0,Residential Vacant Land,NY,W,2014-09-10,0.6721802755507122,40330.81653304274,122.06-2-28192201.0
greene,2014,192201.0,Athens,4.0,192801.0,Coxsackie-Athens,140.06-5-27,15000,2014-09-22,265000,Y,311.0,Residential Vacant Land,NY,W,2014-09-22,0.6721802755507122,178127.77302093874,140.06-5-27192201.0
greene,2014,192201.0,Athens,4.0,192801.0,Coxsackie-Athens,122.06-2-17,305600,2014-11-21,185000,Y,210.0,One Family Year-Round Residence,NY,W,2014-11-21,0.6721802755507122,124353.35097688176,122.06-2-17192201.0
greene,2014,192289.0,Athens,0.0,192801.0,Coxsackie-Athens,105.14-2-36,76200,2014-05-09,135000,Y,311.0,Residential Vacant Land,NY,W,2014-05-09,0.6721802755507122,90744.33719934615,105.14-2-36192289.0
greene,2014,192289.0,Athens,0.0,192801.0,Coxsackie-Athens,105.06-2-46,72400,2014-05-14,90000,Y,311.0,Residential Vacant Land,NY,W,2014-05-14,0.6721802755507122,60496.2247995641,105.06-2-46192289.0
greene,2014,192289.0,Athens,0.0,192801.0,Coxsackie-Athens,105.07-7-11,283000,2014-10-15,250000,Y,210.0,One Family Year-Round Residence,NY,W,2014-10-15,0.6721802755507122,168045.06888767806,105.07-7-11192289.0
greene,2014,192289.0,Athens,0.0,192801.0,Coxsackie-Athens,105.15-2-13,451900,2014-10-28,350000,Y,210.0,One Family Year-Round Residence,NY,W,2014-10-28,0.6721802755507122,235263.0964427493,105.15-2-13192289.0
greene,2014,192601.0,Catskill,4.0,192601.0,Catskill,172.06-6-1.2,80000,2014-06-25,217500,Y,210.0,One Family Year-Round Residence,NY,D,2014-06-25,0.6721802755507122,146199.20993227992,172.06-6-1.2192601.0
