county_name,year,swis_code,muni_name,muni_type,school_code,school_name,print_key,total_av,sale_date,sale_price,arms_length_flag,prop_class_at_sale,prop_class_desc_at_sale,buyer_state,ownership_code,std_date,merged_swis_print,hpi,adjusted_amt
clinton,2014,092400,Beekmantown,3,092401,Beekmantown,139.4-1-8,308600,2014-06-19,295000,Y,210,One Family Year-Round Residence,NY,W,2014-06-19,139.4-1-8092400,0.7917358666046636,233562.08064837573
clinton,2014,093000,Chazy,3,093001,Chazy,124.4-1-19,14400,2014-06-23,17000,Y,311,Residential Vacant Land,NY,W,2014-06-23,124.4-1-19093000,0.7917358666046636,13459.50973227928
clinton,2014,092889,Champlain,0,093001,Chazy,64.-1-13.1,56400,2014-09-10,80000,Y,570,Marinas,NY,W,2014-09-10,64.-1-13.1092889,0.7917358666046636,63338.86932837308
clinton,2014,092889,Champlain,0,092801,Northeastern Clinton,50.4-1-22.2,110000,2014-11-10,110000,Y,260,Seasonal Residences,FL,W,2014-11-10,50.4-1-22.2092889,0.7917358666046636,87090.94532651299
clinton,2014,093000,Chazy,3,093001,Chazy,124.2-1-16.3,247600,2014-11-13,175000,Y,210,One Family Year-Round Residence,NY,W,2014-11-13,124.2-1-16.3093000,0.7917358666046636,138553.77665581612
clinton,2014,092889,Champlain,0,092801,Northeastern Clinton,50.4-1-58,138500,2014-11-14,139000,Y,260,Seasonal Residences,NY,W,2014-11-14,50.4-1-58092889,0.7917358666046636,110051.28545804824
clinton,2015,093000,Chazy,3,093001,Chazy,95.-1-9,387100,2015-02-03,180000,Y,322,Residential Vacant Land Over 10 Acres,IL,W,2015-02-03,95.-1-9093000,0.8057862220155451,145041.5199627981
clinton,2015,092803,Rouses Point,4,092801,Northeastern Clinton,20.19-1-19,14600,2015-04-08,27500,Y,311,Residential Vacant Land,NY,W,2015-04-08,20.19-1-19092803,0.8057862220155451,22159.12110542749
clinton,2015,092400,Beekmantown,3,092401,Beekmantown,139.1-1-17,395400,2015-06-01,340000,Y,220,Two Family Year-Round Residence,NY,W,2015-06-01,139.1-1-17092400,0.8057862220155451,273967.3154852853
clinton,2015,093000,Chazy,3,093001,Chazy,124.2-1-17,175000,2015-06-09,120000,Y,210,One Family Year-Round Residence,NY,W,2015-06-09,124.2-1-17093000,0.8057862220155451,96694.34664186541
