county_name,year,swis_code,muni_name,muni_type,school_code,school_name,print_key,total_av,sale_date,sale_price,arms_length_flag,prop_class_at_sale,prop_class_desc_at_sale,buyer_state,ownership_code,std_date,hpi,adjusted_amt,merged_swis_print
delaware,2015,124000.0,Kortright,3.0,122601.0,Charlotte Valley,26.-4-30,42500,2015-12-07,34000,Y,311.0,Residential Vacant Land,NJ,W,2015-12-07,0.724503620649381,24633.123102078953,26.-4-30124000.0
delaware,2015,125089.0,Sidney,0.0,125001.0,Sidney,117.-1-1.2,66200,2015-06-24,65000,Y,210.0,One Family Year-Round Residence,NY,W,2015-06-24,0.724503620649381,47092.735342209766,117.-1-1.2125089.0
delaware,2015,125089.0,Sidney,0.0,125001.0,Sidney,119.-2-16,60000,2015-08-19,60000,Y,210.0,One Family Year-Round Residence,NY,W,2015-08-19,0.724503620649381,43470.21723896286,119.-2-16125089.0
delaware,2015,125089.0,Sidney,0.0,364801.0,Unatego,75.-1-6,35000,2015-08-14,41500,Y,260.0,Seasonal Residences,NY,W,2015-08-14,0.724503620649381,30066.900256949313,75.-1-6125089.0
delaware,2015,125089.0,Sidney,0.0,125001.0,Sidney,119.-2-16,60000,2015-12-07,61200,Y,210.0,One Family Year-Round Residence,NY,W,2015-12-07,0.724503620649381,44339.62158374212,119.-2-16125089.0
delaware,2016,124000.0,Kortright,3.0,125202.0,South Kortright,67.-2-18,156800,2016-02-05,147500,Y,210.0,One Family Year-Round Residence,NY,W,2016-02-05,0.7156739079654286,105561.90142490072,67.-2-18124000.0
delaware,2016,124000.0,Kortright,3.0,122601.0,Charlotte Valley,26.-4-29,252300,2016-10-20,352000,Y,210.0,One Family Year-Round Residence,NY,W,2016-10-20,0.7156739079654286,251917.21560383087,26.-4-29124000.0
delaware,2016,124000.0,Kortright,3.0,125202.0,South Kortright,67.-2-17,175300,2016-10-26,260000,Y,210.0,One Family Year-Round Residence,NY,W,2016-10-26,0.7156739079654286,186075.21607101144,67.-2-17124000.0
delaware,2016,125089.0,Sidney,0.0,364801.0,Unatego,75.-1-8.1,108970,2016-09-01,116000,Y,210.0,One Family Year-Round Residence,NY,W,2016-09-01,0.7156739079654286,83018.17332398971,75.-1-8.1125089.0
delaware,2016,125089.0,Sidney,0.0,125001.0,Sidney,119.-2-15,75000,2016-11-23,135000,Y,210.0,One Family Year-Round Residence,NY,W,2016-11-23,0.7156739079654286,96615.97757533286,119.-2-15125089.0
