,print_key
228.13-1-33,28
228.23-1-2,24
165.72-1-25.1,22
165.52-3-31.2,18
165.76-1-46,18
228.-1-30,17
372.00-01-25.000,14
165.67-2-6,11
228.62-1-1.11,11
239.34-1-18,11
273.-2-90,10
231.59-3-46,9
240.8-2-1.2,9
211.001-1-1,9
170.000-3-50,9
216.79-1-1.1,9
228.6-1-2.2,9
165.51-1-21,8
42.239-10-1.000,8
190.-1-1,8
228.62-2-1,8
107.000-1-20,7
216.79-1-1.11,7
166.-1-23,7
179.37-1-22,7
15.000-1-55.30,7
316.14-1-6,7
123.000-1-18,7
165.68-1-75,7
84.000-2-12.1,6
171.-1-23,6
277.00-01-02.100,6
239.34-1-17,6
73.000-1-5.1,6
262.-1-18.1,6
16.3-1-55.200,6
165.76-1-34.2,6
166.29-3-3,6
61.-1-29,6
090.1-1-6.1,6
284.17-6-3,6
44.3-1-54.000,6
171.-2-4.100,6
89.000-1-10.1,6
123.000-1-10,5
256.-1-4,5
320.-2-2,5
392.010-1-19,5
149.00-01-12.100,5
303.17-16-27,5
129.19-2-67,5
80.12-1-47,5
209.-1-53,5
265.12-4-3,5
043.00-01-06.100,5
240.17-2-8,5
262.000-2-10.1,5
27.-3-1,5
277.9-2-4,5
337.015-2-27,5
178.44-3-11.2,5
115.54-1-3.1,5
86.-1-16,5
70.002-2-27.1,5
194.-2-15.1,5
276.16-2-3,5
53.001-2-2.11,5
146.9-1-30,5
44.000-1-26.111,5
276.12-4-32,5
209.-5-4,5
293.000-1-2.1,5
229.7-1-26,5
83.000-2-6,4
112.56-1-10,4
272.-1-10.1,4
172.-1-5,4
113.73-3-28,4
141.-1-14,4
227.-1-26,4
418.00-01-03.120,4
41.-1-11,4
154.18-8-38,4
105.3-1-3.2,4
301.000-1-38,4
172.-2-38,4
154.12-1-14,4
201.-1-47.12,4
179.76-1-13,4
229.82-1-20,4
68.000-1-16.2,4
301.19-1-27.2,4
88.14-1-18,4
88.-1-5,4
239.34-1-8,4
120.39-1-20,4
147.-1-33.12,4
265.17-3-19,4
114.20-1-31,4
79.-1-7,4
229.76-2-14,4
167.-1-3.2,4
51.14-2-40,4
212.00-01-16.121,4
155.-2-6,4
248.-1-121.2,4
10.024-2-3,4
27.13-1-38,4
259.10-4-15,4
265.20-3-2,4
189.16-2-6,4
178.36-3-21,4
457.34-4-2,4
138.19-2-14,4
331.31-2-12,4
